Siruta,Localitate,Judet,Abs_liceal,Abs_postlic,Abs_primar_gimn,Abs_profes,Abs_tehnic,Abs_univ,Pop_liceal,Pop_profess,Pop_primar_gimn,Pop_univ
116867,Galesti,MS,0,0,17,0,0,0,0,0,191,0
116938,Ganesti,MS,0,0,26,0,0,0,0,0,220,0
116983,Gheorghe Doja,MS,0,0,42,0,0,0,0,0,326,0
117042,Ghindari,MS,0,0,30,0,0,0,0,0,328,0
117113,Glodeni,MS,0,0,26,0,0,0,0,0,400,0
117177,Gornesti,MS,0,0,46,0,0,0,0,0,502,0
117275,Grebenisu De Campie,MS,0,0,28,0,0,0,0,0,176,0
117319,Gurghiu,MS,49,25,52,9,0,0,203,49,481,0
117426,Hodac,MS,0,0,57,0,0,0,0,0,504,0
117505,Hodosa,MS,0,0,8,0,0,0,0,0,106,0
117550,Ibanesti,MS,0,0,45,0,0,0,0,0,349,0
117667,Iclanzel,MS,0,0,11,0,0,0,0,0,190,0
117783,Ideciu De Jos,MS,0,0,10,0,0,0,0,0,119,0
117827,Oras Iernut,MS,82,0,87,14,0,0,250,62,777,0
117925,Livezeni,MS,0,0,18,0,0,0,0,0,227,0
117998,Lunca,MS,0,0,25,0,0,0,0,0,190,0
118058,Lunca Bradului,MS,0,0,13,0,0,0,0,0,161,0
118094,Magherani,MS,0,0,6,0,0,0,0,0,123,0
118209,Mica,MS,0,0,26,0,0,0,0,0,522,0
118281,Oras Miercurea Nirajului,MS,75,17,71,0,0,0,205,145,634,0
118370,Mihesu De Campie,MS,0,0,26,0,0,0,0,0,194,0
118469,Nades,MS,0,0,13,0,0,0,0,0,274,0
118511,Neaua,MS,0,0,10,0,0,0,0,0,94,0
118575,Ogra,MS,0,0,14,0,0,0,0,0,342,0
118637,Papiu Ilarian,MS,0,0,12,0,0,0,0,0,85,0
118691,Panet,MS,0,0,35,0,0,0,0,0,424,0
118753,Pasareni,MS,0,0,14,0,0,0,0,0,153,0
118799,Petelea,MS,0,0,17,0,0,0,0,0,322,0
118824,Pogaceaua,MS,0,0,28,0,0,0,0,0,269,0
118931,Rastolita,MS,0,0,17,0,0,0,0,0,152,0
118995,Raciu,MS,0,0,44,0,0,0,0,0,363,0
119153,Rusii-Munti,MS,0,0,16,0,0,0,0,0,171,0
119206,Saschiz,MS,0,0,9,0,0,0,0,0,184,0
119242,Oras Sarmasu,MS,95,0,74,0,0,0,415,16,720,0
119331,Oras Sangeorgiu De Padure,MS,57,0,30,0,0,0,224,64,418,0
119386,Sanger,MS,0,0,22,0,0,0,0,0,250,0
119466,Sanpaul,MS,0,0,38,0,0,0,0,0,467,0
119527,Sanpetru De Campie,MS,0,0,23,0,0,0,0,0,232,0
119590,Solovastru,MS,0,0,15,0,0,0,0,0,211,0
119625,Stanceni,MS,0,0,12,0,0,0,0,0,72,0
119661,Suplac,MS,0,0,23,0,0,0,0,0,205,0
119723,Suseni,MS,0,0,19,0,0,0,0,0,159,0
119750,Saulia,MS,0,0,30,0,0,0,0,0,245,0
119803,Sincai,MS,0,0,18,0,0,0,0,0,166,0
119858,Taureni,MS,0,0,8,0,0,0,0,0,96,0
119894,Oras Ungheni,MS,0,0,64,0,0,0,0,0,588,0
119974,Valea Larga,MS,0,0,25,0,0,0,0,0,219,0
120076,Vargata,MS,0,0,19,0,0,0,0,0,172,0
120138,Vatava,MS,0,0,9,0,0,0,0,0,138,0
120174,Vetca,MS,0,0,6,0,0,0,0,0,82,0
120218,Viisoara,MS,0,0,23,0,0,0,0,0,239,0
120254,Vanatori,MS,0,0,22,0,0,0,0,0,516,0
120316,Voivodeni,MS,0,0,15,0,0,0,0,0,141,0
120343,Zagar,MS,0,0,13,0,0,0,0,0,142,0
120370,Zau De Campie,MS,0,0,29,0,0,0,0,0,272,0
120478,Chibed,MS,0,0,18,0,0,0,0,0,156,0
120487,Corunca,MS,0,0,13,0,0,0,0,0,145,0
120496,Sarateni,MS,0,0,11,0,0,0,0,0,183,0
120502,Madaras,MS,0,0,18,0,0,0,0,0,155,0
120511,Bereni,MS,0,0,4,0,0,0,0,0,80,0
120726,Municipiul Piatra-Neamt,NT,1752,373,783,88,22,42,6833,755,7889,214
120771,Dumbrava Rosie,NT,0,0,49,0,0,0,0,0,517,0
120824,Savinesti,NT,0,0,59,0,0,0,0,0,341,0
120860,Municipiul Roman,NT,1075,230,452,108,0,30,4549,689,4487,145
120888,Cordun,NT,20,0,56,0,0,0,111,0,538,0
120922,Horia,NT,11,28,34,0,0,0,226,47,390,0
120968,Oras Bicaz,NT,153,0,55,0,0,0,677,0,538,0
