Siruta,X_c1,X_c2
19338,-0.07548935530626193,-0.0004967055559610834
19392,-0.20493875477543022,-0.0004963308520613606
19560,-0.17062588145447682,-0.0004964301740164768
19631,-0.16163917653708426,-0.0004964561869094904
19695,-0.17189218987465485,-0.0004964265085633661
19793,-0.1374567705775552,-0.0004965261852397501
19999,-0.15334689881785385,-0.0004964801897153155
20048,-0.2389248388266603,-0.0004962324760296294
20055,-0.17013569754989177,-0.000496431592901553
20063,-0.16237445239396184,-0.0004964540585818807
20297,7.776970855535211,-0.0005194352671485946
20313,-0.05984431901825579,-0.0004967508420429956
20359,-0.0030238347451055406,-0.0004969153144710598
20411,-0.07646972311543203,-0.0004967027181909424
20466,0.11788819505253983,-0.0004972653061224228
20563,1.8652304202633772,-0.000502323158446381
20607,-0.06907611588794088,-0.0004967241197074507
20670,-0.07026072699068808,-0.0004967206907351943
20778,0.5662022244542825,-0.0004985629947622063
20821,0.6977757541766525,-0.0004989438471638064
20876,0.7245724742939685,-0.000499021412881184
20910,-0.0738554089576451,-0.0004967102855779961
20965,0.251504157710681,-0.0004976520705452477
21007,-0.030269890108291182,-0.0004968364481090723
21098,-0.18316641968011096,-0.0004963938742067039
21123,0.007229178592465038,-0.0004969449928171574
21196,0.04697492352256942,-0.0004970600407485026
21249,-0.1932560383828199,-0.0004963646688222662
21338,-0.05053082483113987,-0.000496777800859385
21418,-0.06531803928612216,-0.0004967349978263563
21454,-0.08737631499244936,-0.00049667114799807
21506,0.027449264656598298,-0.0004970035218264227
21560,-0.16776647534439737,-0.0004964384508460692
21597,-0.1416233337665281,-0.0004965141247166318
21668,-0.07393710627507595,-0.0004967100490971389
21720,-0.12283295075743456,-0.0004965685153111054
21757,-0.0636023956200745,-0.0004967399639241142
21855,0.008577184330073932,-0.0004969488947511131
21891,-0.1908459675186101,-0.0004963716450072162
21971,-0.056944064249460906,-0.0004967592371130177
22059,-0.1369257380142547,-0.0004965277223652592
22111,-0.20575572794973865,-0.0004963284872529179
22166,0.3186185039801173,-0.0004978463395598522
22237,-0.16931872437558337,-0.0004964339577099958
22380,0.17683280957889194,-0.0004974359270524688
22460,-0.05784273474120018,-0.0004967566358237132
22488,-0.19194888130392643,-0.000496368452515806
22576,-0.09378955441077043,-0.0004966525842516838
22665,-0.16678610753522727,-0.0004964412886162148
22718,-0.08443521156493908,-0.0004966796613085035
22781,0.004941653704401502,-0.0004969383713534975
22834,-0.14689281074081736,-0.0004964988717021032
22898,-0.008579252330402777,-0.0004968992337735546
22941,-0.05682151827331466,-0.0004967595918342811
23047,-0.18549479322688997,-0.000496387134502603
23127,-0.21604958994602466,-0.0004962986906663759
23207,-0.15506254248390153,-0.0004964752236175462
23289,-0.05645388034487587,-0.0004967606559980895
23350,-0.06601246648428433,-0.0004967329877391614
23387,-0.10677942788227421,-0.0004966149837972523
23449,-0.059435832431101586,-0.000496752024447225
23494,-0.1435840693848683,-0.0004965084491763427
23644,-0.16572404240862634,-0.000496444362867205
23715,0.12679320265250155,-0.0004972910825345826
23797,0.10342776986728087,-0.0004972234490127565
23868,-0.21674401714418684,-0.0004962966805791767
23948,-0.12315974002715795,-0.0004965675693877216
23975,-0.14325728011514494,-0.0004965093950997335
24034,-0.14615753488393982,-0.000496501000029713
24089,-0.12524302162164438,-0.0004965615391261647
24187,-0.10396087043091018,-0.0004966231423864212
24276,-0.08594661193740963,-0.0004966752864128663
24338,-0.017606805906510755,-0.0004968731026401281
24427,-0.14583074561421644,-0.0004965019459530992
24524,-0.07553020396497734,-0.0004967054377206635
24631,0.04795529133173955,-0.0004970628785186662
24711,-0.13884562497387948,-0.0004965221650653878
24766,0.05726878551885543,-0.0004970898373350325
24837,-0.08447606022365449,-0.0004966795430680836
24999,-0.1877006207975227,-0.0004963807495197735
25068,0.12540434825617724,-0.0004972870623602064
25148,-0.09403464636306294,-0.0004966518748091537
