Code,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
9538,86.8121975919883,6.672667941937662,5.941262518285136,0.03375717339934736,0.3375717339934736,0.0,0.0,0.0,0.0,0.07876673793181051,0.0,0.0,0.0,0.045009564532463145,0.07876673793181051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9574,94.03674540682415,2.9396325459317585,1.2913385826771655,0.2099737532808399,1.2913385826771655,0.0,0.0,0.0,0.0,0.10498687664041995,0.04199475065616798,0.031496062992125984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05249343832020997
9627,46.30256844482077,2.5119954840530623,5.151001975726785,0.4515946937623483,0.29635901778154106,0.07056167090036691,0.0,0.0,0.15523567598080723,44.86311035845329,0.0,0.0,0.0,0.0,0.0,0.19757267852102736,0.0,0.0,0.0,0.0,0.0,0.0
9654,78.60301967363124,6.923898124142139,11.117889278633521,0.9150526155253926,2.1961262772609427,0.0,0.0,0.0,0.0,0.24401403080677142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9690,90.88842252535852,2.273522210563134,6.593214410633089,0.0,0.0,0.0,0.0,0.0,0.05246589716684155,0.08744316194473592,0.0,0.0,0.0,0.1049317943336831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9743,98.18108326596605,0.0,1.818916734033953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9798,97.0358306188925,0.13029315960912052,2.8338762214983717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9832,94.53441295546558,0.0,5.465587044534413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9887,96.28924833491912,0.0,3.425309229305423,0.285442435775452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9930,91.28239649949512,1.649276337933356,3.971726691349714,2.9619656681252104,0.13463480309660047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10006,90.56393076493579,0.0,8.93355667225014,0.5025125628140703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10051,97.38636363636364,0.625,1.9886363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10104,97.81105990783409,0.38402457757296465,0.8064516129032258,0.8064516129032258,0.19201228878648233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10195,97.33246584255042,1.6590761223162005,1.0084580351333767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10239,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10293,99.09584086799276,0.48221820373719104,0.42194092827004215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10346,93.73737373737374,0.30303030303030304,5.95959595959596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10373,87.26163234172387,5.034324942791762,7.055682684973302,0.4195270785659802,0.2288329519450801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10417,96.28482972136223,0.0,3.7151702786377707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10453,98.6586493987049,0.4162812210915819,0.9250693802035153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10514,73.31967213114754,0.778688524590164,25.69672131147541,0.0,0.20491803278688525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10532,87.09319526627219,0.0,11.649408284023668,1.257396449704142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10649,99.74489795918367,0.25510204081632654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10701,98.28178694158075,0.0,1.718213058419244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10765,99.47447447447448,0.22522522522522523,0.0,0.3003003003003003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10827,79.70703822793855,0.6430868167202572,13.39764201500536,0.0,0.3215434083601286,0.0,0.0,0.0,5.787781350482315,0.0,0.1429081814933905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10872,83.01264431006047,15.36558548653106,0.5222649807586587,0.4123144584936778,0.46728971962616817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21990104452996154
10916,91.69758812615956,0.7421150278293136,6.539888682745826,0.0,1.0204081632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10943,97.71443246019518,0.2824858757062147,1.386748844375963,0.48793014894709813,0.12840267077555212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11058,99.78417266187051,0.1079136690647482,0.1079136690647482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
