Siruta,Localitate,Diferenta_Barbati_Femei
90663,Rapoltu Mare,-2875.35
178313,Valea Sarii,-2875.35
172947,Scundu,-2876.8
120138,Vatava,-2878.25
86339,Voslabeni,-2884.05
74842,Catane,-2886.95
171272,Maldaresti,-2886.95
105348,Stoenesti,-2889.85
94081,Movila,-2892.75
152993,Frumoasa,-2894.2
40820,Cincu,-2895.65
133429,Gherghita,-2898.55
30648,Rabagani,-2900.0
179828,Rosiori,-2900.0
54305,Ticvaniu Mare,-2901.45
139287,Valea Vinului,-2901.45
175206,Balesti,-2905.8
179757,Herasti,-2905.8
39658,Viisoara,-2907.25
11502,Olari,-2908.7
163903,Gagesti,-2908.7
167035,Vutcani,-2908.7
55311,Sandulesti,-2911.6
169547,Dragoesti,-2911.6
46554,Cozieni,-2914.5
121386,Bira,-2915.95
18162,Popesti,-2920.3
64425,Ilieni,-2920.3
61452,Comana,-2927.55
134899,Provita De Sus,-2930.45
83151,Bradesti,-2933.35
105142,Slobozia Moara,-2933.35
42498,Augustin,-2933.35
140208,Banisor,-2933.35
118824,Pogaceaua,-2934.8
59942,Vad,-2937.7
100362,Ciohorani,-2937.7
43732,Ramnicelu,-2944.95
33177,Cosbuc,-2949.3
51699,Buchin,-2949.3
129914,Vitomiresti,-2950.75
72506,Giubega,-2958.0
133278,Fantanele,-2959.45
153865,Radoiesti,-2960.9
111989,Grozesti,-2962.35
108614,Rona De Jos,-2963.8
169404,Danicei,-2966.7
17726,Negrasi,-2968.15
159400,Ghilad,-2971.05
128052,Perieti,-2972.5
39612,Vaculesti,-2976.85
80043,Danciulesti,-2981.2
31921,Uileacu De Beius,-2981.2
2988,Berghin,-2982.65
180055,Crivat,-2982.65
52990,Gradinari,-2984.1
55918,Baisoara,-2985.55
31609,Tarcaia,-2987.0
125114,Ghindaoani,-2987.0
119750,Saulia,-2989.9
77509,Varlezi,-2989.9
177726,Slobozia Ciorasti,-2989.9
160305,Daeni,-2992.8
32153,Tamaseu,-2992.8
75542,Balabanesti,-2992.8
159366,Birda,-2994.25
177101,Paltin,-2994.25
27908,Buduslau,-3001.5
70726,Apele Vii,-3005.85
39942,Lozna,-3005.85
38731,Ripiceni,-3007.3
78926,Berlesti,-3008.75
178475,Vintileasca,-3008.75
167240,Rafaila,-3008.75
149502,Moldova-Sulita,-3008.75
118058,Lunca Bradului,-3010.2
109354,Valea Chioarului,-3013.1
166182,Tanacu,-3013.1
130026,Vladila,-3016.0
131899,Adunati,-3018.9
73772,Predesti,-3023.25
158895,Tomesti,-3030.5
170792,Lapusata,-3030.5
153829,Putineiu,-3031.95
125659,Babiciu,-3031.95
65645,Motaieni,-3031.95
72276,Farcas,-3031.95
61951,Ion Corvin,-3033.4
79497,Capreni,-3034.85
145220,Pauca,-3036.3
32090,Varciorog,-3036.3
32201,Toboliu,-3039.2
162871,Botesti,-3039.2
78748,Balanesti,-3039.2
86883,Ghelari,-3040.65
74073,Scaesti,-3040.65
91688,Turdas,-3042.1
89801,Harau,-3042.1
39983,Blandesti,-3043.55
147884,Crucea,-3046.45
26118,Vultureni,-3046.45
39967,Candesti,-3046.45
16132,Cuca,-3047.9
4767,Horea,-3047.9
161106,Ostrov,-3047.9
110946,Burila Mare,-3047.9
15448,Cicanesti,-3050.8
132011,Apostolache,-3053.7
134336,Pacureti,-3055.15
179622,Grosii Tiblesului,-3055.15
94768,Vlad Tepes,-3056.6
100317,Fantanele,-3056.6
93717,Grindu,-3058.05
78089,Turcinesti,-3059.5
4142,Cricau,-3062.4
41541,Ormenis,-3062.4
136278,Batrani,-3063.85
38848,Romanesti,-3065.3
36373,Braesti,-3068.2
47578,Mihailesti,-3069.65
86501,Satu Mare,-3069.65
4482,Garbova,-3072.55
5755,Miraslau,-3076.9
53675,Racasdia,-3076.9
83963,Capalnita,-3081.25
158804,Stiuca,-3081.25
2130,Albac,-3082.7
94535,Suditi,-3084.15
160172,Chilia Veche,-3087.05
93209,Cocora,-3087.05
117783,Ideciu De Jos,-3087.05
79362,Bumbesti-Pitic,-3088.5
152868,Draganesti De Vede,-3089.95
26920,Oras Nucet,-3089.95
179873,Agris,-3089.95
159375,Checea,-3089.95
151585,Poieni-Solca,-3091.4
104083,Luica,-3092.85
53853,Sichevita,-3094.3
130062,Voineasa,-3095.75
160564,Izvoarele,-3095.75
111097,Cazanesti,-3097.2
27935,Bulz,-3101.55
80613,Jupanesti,-3103.0
112370,Isverna,-3103.0
72150,Dragotesti,-3104.45
86479,Leliceni,-3104.45
163057,Coroiesti,-3105.9
17575,Mozaceni,-3105.9
172581,Roesti,-3107.35
117667,Iclanzel,-3108.8
53023,Iablanita,-3108.8
159071,Traian Vuia,-3111.7
139982,Almasu,-3113.15
63294,Baraganu,-3114.6
4188,Craciunelu De Jos,-3114.6
172894,Salatrucel,-3116.05
75686,Baneasa,-3116.05
101083,Belciugatele,-3118.95
52696,Dognecea,-3118.95
47337,Magura,-3121.85
99922,Tutora,-3121.85
149138,Iacobeni,-3121.85
41943,Soars,-3121.85
90342,Orastioara De Sus,-3129.1
74028,Salcuta,-3134.9
28816,Copacel,-3134.9
141232,Garbou,-3136.35
177879,Tanasoaia,-3137.8
28415,Cetariu,-3143.6
151567,Ciprian Porumbescu,-3143.6
173597,Sutesti,-3147.95
54109,Socol,-3149.4
76763,Namoloasa,-3149.4
123228,Moldoveni,-3150.85
167295,Feresti,-3152.3
129629,Urzica,-3153.75
94795,Vladeni,-3155.2
33729,Magura Ilvei,-3156.65
44257,Tudor Vladimirescu,-3165.35
152467,Calmatuiu De Sus,-3165.35
11735,Pilu,-3165.35
86519,Santimbru,-3172.6
119153,Rusii-Munti,-3176.95
124331,Stanita,-3176.95
36676,Corlateni,-3181.3
124750,Tupilati,-3182.75
64265,Dobarlau,-3182.75
37618,Hanesti,-3185.65
179739,Malu,-3187.1
122613,Faurei,-3187.1
16739,Izvoru,-3188.55
69170,Valea Mare,-3195.8
66223,Barbuletu,-3197.25
130124,Vulpeni,-3200.15
77082,Rediu,-3207.4
152127,Bogdana,-3211.75
86188,Tusnad,-3213.2
80711,Licurici,-3213.2
84237,Danesti,-3214.65
79736,Calnic,-3216.1
41578,Parau,-3216.1
166985,Vulturesti,-3219.0
65707,Gura Foii,-3219.0
161543,Vacareni,-3219.0
42236,Vistea,-3220.45
115708,Beica De Jos,-3221.9
33122,Chiuza,-3223.35
169306,Creteni,-3223.35
154460,Suhaia,-3224.8
26320,Sarata,-3226.25
163253,Danesti,-3227.7
18554,Salatrucu,-3229.15
43279,Gradistea,-3230.6
166315,Tatarani,-3233.5
82136,Stanesti,-3234.95
62903,Seimeni,-3234.95
92872,Andrasesti,-3240.75
149183,Izvoarele Sucevei,-3240.75
59764,Tureni,-3240.75
