Code,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another,City
100754,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adancata
100781,98.72312914174883,0.0,1.22838209148214,0.0,0.04848876676903184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adunatii-Copaceni
100834,93.90820584144646,0.04172461752433936,5.382475660639778,0.0,0.0,0.3337969401947149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08344923504867872,0.0,0.12517385257301808,0.0,0.12517385257301808,Afumati
100852,93.5456475583864,0.0,6.4543524416135885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alexeni
100870,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armasesti
100923,99.17517674783974,0.0,0.8248232521602514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Axintele
100969,95.76347113784718,0.1407909893766799,3.5069755535645717,0.038397542557276336,0.10239344681940356,0.05119672340970178,0.0,0.0,0.0,0.0,0.0,0.0,0.10239344681940356,0.0,0.05119672340970178,0.0,0.0,0.0,0.0,0.0,0.0,0.24318443619608346,Balotesti
101001,93.53344077356971,0.0,6.466559226430298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Baneasa
101056,82.44651673066375,0.0,17.553483269336258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barcanesti
101083,94.94262643433915,0.0,5.057373565660859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Belciugatele
101145,98.37285788471524,0.12117015752120477,0.8308810801454042,0.0,0.0,0.3981305175696728,0.05193006750908776,0.0,0.0,0.0,0.08655011251514627,0.0,0.0,0.08655011251514627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05193006750908776,Berceni
101163,99.66466643134487,0.0,0.3353335686551359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bolintin-Deal
